Type,Price,Bedrooms,Bathrooms,Area,Furnished,Compound,Payment_Option,Delivery_Date,Delivery_Term,City,Description,Security,Balcony,Private_Garden,Pets_Allowed,Covered_Parking,Maids_Room,Electricity_Meter,Natural_Gas,Landline,Pool,Central_heating,Built_in_Kitchen_Appliances,Elevator
Twin House,7500000.0,4,4,306,No,Beverly Hills,Cash,Ready to move,Semi Finished,Sheikh Zayed,City villa   SODIC - Westown - City Villa  Townhouse Middle,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,3000000.0,5,4,581,Unknown,Unknown,Cash or Installment,Ready to move,Unknown,New Cairo - El Tagamoa,عاين واستلم فوري فيلا 581م ب تاج سيتى بالتقسيط علي 7 سنين,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable
Twin House,500000.0,3,2,167,Unknown,Unknown,Unknown,Unknown,Unknown,New Cairo - El Tagamoa,خصم كبيررر على فيلا z villa  فى كمبوند تاج سيتى taj city امام المطار,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,3553000.0,4,4,189,No,THE 8,Cash or Installment,soon,Semi Finished,Sheikh Zayed,own villa 0% down payment and installments up to  9 years,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable
Stand Alone Villa,30000000.0,6,5,943,Yes,Unknown,Cash,Ready to move,Finished,Shorouk City,Villa For Sale,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,18000000.0,6,6,"1,100",No,Palm Hills Katameya,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,(1100m)Palm Hills katameya_golden square التجمع_لارج فيلا برايم لوكيشن,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,6000000.0,7,6,707,No,Unknown,Cash or Installment,soon,Unknown,New Cairo - El Tagamoa,فيلا للبيع 707م ف Giselle من حسن علام ع طريق السويس Swan Lake,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable
Stand Alone Villa,20000000.0,5,4,700,No,Madinaty,Cash,Ready to move,Finished,Madinaty,فيلا 5 غرف للبيع بمدينتى فيو البحيرات بحمام سباحة,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,31500000.0,5,5,950,No,Mivida,Cash,Unknown,Semi Finished,New Cairo - El Tagamoa,فيلا ستاند الون فيو مميز جدا 950 م للبيع بكمبوند ميفيدا جاهزة للاستلام,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,7300000.0,3,4,210,No,Mountain View - October Park,Cash or Installment,Ready to move,Finished,6th of October,تاون هاوس 210م استلام فوري في مونتن فيو اكتوبر,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable
Town House,360000.0,4,2,197,No,Unknown,Cash or Installment,Ready to move,Unknown,6th of October,استلام فووري فيلا في #اكتوبر,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable
Town House,2650000.0,4,2,220,Unknown,Unknown,Unknown,Unknown,Semi Finished,Hadayek 6th of October,عالمفتاح استلم فيلا i villa garden بأقل سعر فى mountain view october,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,10000000.0,4,3,257,No,Madinaty,Cash,Ready to move,Finished,Madinaty,"""فيلا  تشطيب سوبر لوكس نموذج H فيو البحيرات",Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable
Stand Alone Villa,5850000.0,3,5,364,Unknown,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed,بجوار الكارما للبيع فيلا 364م  فى اجدد مشاريع الشيخ زايد,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Town House,6940000.0,4,3,170,No,O West,Installment,2024,Finished,6th of October,الجونه في اكتوبرفيلا متشطبه مقدم 280 ألف تقسيط 8 سنوات او ويست ساويرس,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,16000000.0,6,7,810,No,Rehab City,Cash,Ready to move,Semi Finished,Rehab City,للبيع فيلا نموذج z فيو جاردان الارض 810 موقع ممتاز,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,5770000.0,4,4,580,No,Mivida,Cash or Installment,Ready to move,Unknown,New Cairo - El Tagamoa,لسرعه البيع فيلا استاند الون في مفيدا من اعمار استلام فوري بسعر مغري,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,5000000.0,4,3,260,Unknown,Unknown,Cash or Installment,Unknown,Unknown,New Cairo - El Tagamoa,فيلا للبيع (بالتجمع الخامس),Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,900000.0,4,4,280,Unknown,Unknown,Cash or Installment,Unknown,Unknown,(View phone number),فرصه لن تتكرر للبيع فيلا 280م فيو Lake خرافي في Mountain view chillout,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,14375000.0,5,5,490,No,La Nouva Vista,Installment,Ready to move,Semi Finished,New Cairo - El Tagamoa,أستلم الان فيلا 490م في كمبوند لانوفا سيتى التجمع بتسهلات في السداد,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,4500000.0,3,3,278,No,Mountain View Hyde Park,Cash or Installment,Ready to move,Core & Shell,New Cairo - El Tagamoa,اى فيلا للبيع 278م بماونتن فيو هايد بارك,Not Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,11750000.0,3,4,323,No,Cairo Festival City,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,توين هاوس اقل سعر في السوق في cfc,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,9000000.0,3,3,450,Yes,High City,Cash,Ready to move,Finished,Nasr City,بسعر زمان فيلا بسعر خرافي,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Town House,730000.0,3,3,210,Unknown,Unknown,Cash or Installment,Unknown,Finished,6th of October,فيلا للبيع في ماونتن فيو 4 مدينة السادس من اكتوبر,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,1062000.0,3,3,345,Unknown,Unknown,Unknown,Unknown,Unknown,6th of October,فيلا منفصله بكمبوند ماونتن فيو4 قسط9سنين,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,3150000.0,4,4,288,No,Moon Hillls,Cash or Installment,2025,Not Finished,6th of October,فلاتك فى كمبوند بجانب ماونتن فيو بسعر خيالى,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable
Stand Alone Villa,9971000.0,3,3,286,No,Unknown,Cash or Installment,Ready to move,Semi Finished,Sheikh Zayed,هتدفع مقدم 979 الف ((وتستلم فيليتك))من بالم هيلز Palm hills,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,9000000.0,6,6,"1,650",No,GCR Golf City,Cash or Installment,Ready to move,Not Finished,Obour City,فيلا للبيع بتسهلات بمساحة 1650 م على جولف مباشرة في جولف سيتي العبور,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,12000000.0,4,4,435,No,Dyar,Cash,Ready to move,Finished,New Cairo - El Tagamoa,Amazing Twin at Dyar El Mokhabarat prime location with high finishing,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,22000000.0,4,4,460,No,Madinaty,Cash,soon,Finished,Madinaty,فيلا للبيع في مدينتي 850 متر نموذج D,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,3800000.0,4,4,288,No,Moon Hillls,Installment,2024,Not Finished,6th of October,اشترى فيلا مستقلة مساحة 288 متر + 355 متر حديقة كمبوند مون هيلز اكتوبر,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,15106000.0,4,4,400,Unknown,Sodic East,Installment,2025,Core & Shell,New Cairo - El Tagamoa,فيلا400متر للبيع فى سوديك ايست التجمع الخامس بالتقسيط مقدم 755الف,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,18500000.0,10,9,"1,600",No,Unknown,Cash,soon,Finished,Shorouk City,فيلا  قصر  بأكبر مساحه وأرقى موقع  وتصميم متفرد بالشروق عيشها ببراح,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable
Town House,9500000.0,4,4,300,No,Kattameya Gardens,Installment,Unknown,Semi Finished,New Cairo - El Tagamoa,Installment Amazing Town For Sale in Kattameya Gardens,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,3200000.0,3,3,275,No,Unknown,Cash or Installment,2025,Semi Finished,Sheikh Zayed,فيلا في الشيخ زايد الجديده على وصلة دهشور مباشره في افضل كمباوند سكني,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,3100000.0,5,3,539,No,Palm Hills New Cairo,Cash or Installment,soon,Unknown,New Cairo - El Tagamoa,فيلا للبيع 539م بكمبوند بالم هيلز التجمع الخامس بالقرب من شارع التسعين,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable
Stand Alone Villa,9500000.0,4,5,725,No,Unknown,Cash,Ready to move,Finished,Sheikh Zayed,"""للبيع فيلا في كمبوند رويال ميدوز royal meadows في مدينة الشيخ زايد",Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,8500000.0,4,4,523,No,Greens,Cash,Ready to move,Finished,Sheikh Zayed,ms للبيع فيلا ميجا توين 523م الترا سوبر لوكس كمبوند جرينز سعر لقطه,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,7748175.0,3,3,295,No,Cleopatra Palace,Cash or Installment,Ready to move,Finished,Shorouk City,فيلا Twinhouse للبيع استلام فوري متشطبة في كليوباترا بالاس الشروق,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,39000000.0,7,7,"1,380",No,Katameya Dunes,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,(Special design+pool)_first row golf_katameya Dunes فيلا علي الجولف,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,8450100.0,4,4,378,No,Taj City,Cash or Installment,Ready to move,Semi Finished,New Cairo - El Tagamoa,Twin House For Sale In Taj City - للبيع توين هاوس 378 م في تاج سيتي,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,4225000.0,6,3,"422,000",No,THE 8,Cash or Installment,2026,Not Finished,Sheikh Zayed,امتلك فيلا  تاون كورنر فى الشيخ زايد الجديده,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,21000000.0,5,3,480,Unknown,Unknown,Unknown,Ready to move,Finished,Madinaty,فيلا للبيع 480 م في مدينتي / استلام فوري / تشطيب الترا مودرن,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,5250000.0,4,5,266,No,The Square,Cash,Ready to move,Finished,New Cairo - El Tagamoa,the square compound town house for sale,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,15000000.0,4,4,410,Unknown,Madinaty,Cash,Ready to move,Finished,Madinaty,فيلا للبيع في مدينتي تشطيب مميز اول سكن 4 نوم - فيو رائع 810,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,7800000.0,4,4,357,Unknown,Palm Hills Katameya Extension,Cash,Unknown,Semi Finished,New Cairo - El Tagamoa,palm hills villa 357m for sale بالم هيلز التجمع فيلا للبيع استلام فورى,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,15500000.0,6,6,440,Unknown,Villette,Unknown,Unknown,Not Finished,New Cairo - El Tagamoa,فيلا لقطه للبيع في سوديك فيليت villette separte villa for sale,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,600000.0,3,3,208,Unknown,Hyde Park New Cairo,Cash or Installment,Unknown,Unknown,(View phone number),تاون كورنر في هايد بارك التجمع الخامس علي شارع التسعين الرئيسي,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,9300000.0,3,3,304,No,Madinaty,Installment,2025,Not Finished,Madinaty,فيلا للبيع بمدينتى 304 متر نموذج C3,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,9307000.0,4,3,258,No,Unknown,Cash or Installment,Ready to move,Unknown,New Cairo - El Tagamoa,استلم فيلتك فورا258متر بالتقسيط ع6سنين ومقدم10%في ديستركت5 بالتجمع,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable
Twin House,11500000.0,4,3,380,Unknown,Villette,Cash,Unknown,Semi Finished,New Cairo - El Tagamoa,فيلا توين هاوس للبيع جاهزة للمعاينة استلام فوري بكمبوند Villette Sodic,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,630000.0,3,3,208,Unknown,Hyde Park New Cairo,Cash or Installment,Unknown,Unknown,New Cairo - El Tagamoa,للبيع بالتقسيط في كمبوند هايد بارك التجمع الخامس,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,10000000.0,5,5,450,No,Etapa,Installment,Ready to move,Not Finished,Sheikh Zayed,B فيلا مستقلة 450م للبيع كمبوند Etapa الشيخ زايد فيو مميز جدا بتسهيلات,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,18000000.0,3,4,850,Yes,Al Rabwa,Cash,Ready to move,Finished,Sheikh Zayed,الربوة الجديدة فيلا بحمام سباحة علي جولف رئيسي,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable
Twin House,4112521.0,3,2,210,Unknown,Mountain View iCity,Installment,soon,Not Finished,Sheikh Zayed,فيلا تطل على بحيرة في ماونتن فيو اي سيتي - قسط علي 9 سنوات,Not Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,13000000.0,5,5,700,No,Les Rois,Cash,Ready to move,Core & Shell,New Cairo - El Tagamoa,Villa 700 m / bua 425 m in les rois compound _ view on landscape,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,3600000.0,3,2,175,Unknown,Mountain View - October Park,Cash or Installment,Ready to move,Semi Finished,6th of October,park villa '' Ready to Move '' Mountain View 6th of October Compound,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,170000.0,3,3,155,No,2020 Compound,Cash or Installment,soon,Semi Finished,New Capital City,احصل على افضل جولف فيو امام اكبر فندق فى العاصمه,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,7000000.0,5,4,500,No,El Khamayel,Cash,Ready to move,Finished,6th of October,فيلا للبيع كمبوند الخمائل,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,422500.0,3,2,145,Unknown,Unknown,Unknown,Unknown,Unknown,New Cairo - El Tagamoa,فيلا للبيع في تاج سيتي بسعر مميز,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable
Stand Alone Villa,2000000.0,4,4,270,Unknown,Palm Hills New Cairo,Cash or Installment,Ready to move,Unknown,New Cairo - El Tagamoa,فيلا للبيع 270م استلام فوري بالتجمع الخامس بالتقسيط كمبوند بالم هيلز,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable
Town House,5940000.0,3,3,210,No,EL Patio 5,Cash or Installment,Ready to move,Not Finished,Shorouk City,تاون هاوس إستلام فوري بكمبوند لافيستا الشروق,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable
Twin House,11000000.0,3,3,435,No,Madinaty,Cash,soon,Finished,Madinaty,فيلا نموذج H للبيع بمدينتي تشطيبات خاصة بالكامل بها حمام سباحة,Not Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,5340000.0,4,3,213,No,EL Patio Prime,Cash or Installment,Ready to move,Semi Finished,Shorouk City,فيلا لقطة 213 م في الباتيو برايم حي الوزراء الشروق بتسهيلات,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,5500000.0,4,4,300,Unknown,Unknown,Cash,Ready to move,Unknown,Sheikh Zayed,توين هاوس الترا مودرن في قلب الشيخ زايد بكمبوند حدائق المهندسين,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,14000000.0,6,5,503,No,Unknown,Cash,Ready to move,Finished,Sheikh Zayed,فيلا للبيع في كمباوند الياسمين الشيخ زايد,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,600000.0,4,2,255,No,Unknown,Cash or Installment,2023,Semi Finished,New Cairo - El Tagamoa,اي فيلا لقططة ٢٥٥م في Mountain View I City بالتقسيط علي ١٠ سنوات بدون,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable
Twin House,10000000.0,3,3,450,Yes,Unknown,Cash,Ready to move,Finished,Sheikh Zayed,"""توين هاوس للبيع في كمبوند الربوة rabwa في مدينة الشيخ زايد",Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,17000000.0,4,4,775,Unknown,New Giza,Unknown,Unknown,Unknown,Sheikh Zayed,villa for sale at New Giza first row on golf,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,1200000.0,4,4,250,Unknown,Unknown,Cash or Installment,Unknown,Unknown,6th of October,للبيع فيلا one story 250m في ماونتن فيو icity اكتوبر بالتقسيط,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,20000000.0,4,4,440,No,Villette,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,Villette - LV Prime Location For Sale للبيع فيلا فى فيليت موقع مميز,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable
Stand Alone Villa,15000000.0,5,5,925,No,Rehab City,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,Villa in rehab hills,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,8500000.0,3,3,275,No,Madinaty,Cash,Ready to move,Finished,Madinaty,امتلك في مدينتي فيلا H علي البحيرات مباشرة متشطبه بحري,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable
Twin House,7700000.0,4,4,370,No,Mena Garden City,Cash,Ready to move,Finished,6th of October,Shatoo ultra super fineshed for sale in mena garden & largest area,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,23000000.0,5,5,975,Yes,Palm Hills Katameya,Cash,Ready to move,Finished,New Cairo - El Tagamoa,باقل سعر فيلا بتشطيب راقي في كمبوند بالم هيلز قطاميه pk1,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Town House,7300000.0,4,3,170,Unknown,O West,Unknown,Unknown,Finished,6th of October,بمقدم 5% استلم تاون هاوس متشطب في اجدد مراحل O west في قلب اكتوبر,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable
Twin House,5500000.0,6,2,400,No,Unknown,Cash or Installment,Ready to move,Finished,Sheikh Zayed,توين هاوس للبيع # 10 دقايق لمول العرب# ready to move # بتشطيب كامل,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,9500000.0,4,4,750,No,Unknown,Cash,Ready to move,Not Finished,Sheikh Zayed,"""فيلا  في كمبوند رويال ميدوز royal meadows للبيع في مدينة الشيخ زايد",Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,1300000.0,4,4,265,Unknown,Palm Hills New Cairo,Cash or Installment,Unknown,Unknown,New Cairo - El Tagamoa,للبيع بالتقسيط twin house في بالم هيلز استلام فوري بمقدم مليون و 300,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable
Twin House,8000000.0,3,3,440,No,Al Rabwa,Cash,Ready to move,Unknown,Sheikh Zayed,توين هاوس فيو جولف للبيع في الربوة الشيخ زايد(الربوه),Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,246000.0,4,4,245,No,IL Bosco,Installment,Unknown,Unknown,New Capital City,فيلا في البوسكو بفيو مباشر علاجون وبسعرغيرمسبوق فقط ادفع5%وقسط ع10سنين,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,18000000.0,8,8,"1,000",No,Jasmine City,Cash,Ready to move,Finished,Sheikh Zayed,قصر للبيع الترا سوبر لوكس بكمبوند الياسمين بجوار كمبوند الربوة,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Avilable
